Mass	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1.5	7.288798731241997e-11	6.886138881334603e-11	6.741567026846695e-11	6.563011939464403e-11	6.474013686252889e-11	6.356372372895436e-11	6.352886272598113e-11	6.302661170742851e-11	6.251979489668713e-11	6.196462093432942e-11	6.152102438594653e-11	6.124824258879613e-11	6.051625173197905e-11	6.058372553630065e-11	5.961325183490018e-11	6.036363076056261e-11	5.937504654607295e-11	6.049114681383472e-11	5.916298700947564e-11	5.868704133771274e-11	5.787407358903707e-11
1.53125	6.278280673122083e-11	5.9468194257839e-11	5.84161399808103e-11	5.698472249626718e-11	5.640087008540462e-11	5.516218731793643e-11	5.524508975285336e-11	5.4583695202614635e-11	5.471413946911419e-11	5.404789810148358e-11	5.358158708390626e-11	5.344957462738442e-11	5.272279141044223e-11	5.273940659189513e-11	5.1883917301376314e-11	5.2541342804302005e-11	5.198824010177461e-11	5.267435099209905e-11	5.1692938124459076e-11	5.170685407618336e-11	5.0488883907018334e-11
1.5625	5.5231669932043204e-11	5.2422427510023795e-11	5.1578429027809847e-11	5.0536852480576044e-11	5.018791285338331e-11	4.892074592643958e-11	4.883076235029371e-11	4.821631635620882e-11	4.8598368385111e-11	4.7931165980674706e-11	4.7473580622181544e-11	4.7471467728987804e-11	4.6958405913732904e-11	4.662696617696582e-11	4.5975123014185826e-11	4.640932430022282e-11	4.62782208388024e-11	4.646230275517915e-11	4.601169792395332e-11	4.6213873006184514e-11	4.493775490610474e-11
1.59375	4.9383754030518645e-11	4.7069296377211245e-11	4.625357041820877e-11	4.5468261100634066e-11	4.519772056621463e-11	4.413537244007948e-11	4.387265897798365e-11	4.344771070696751e-11	4.3687872763875646e-11	4.3102764413216477e-11	4.267564426840842e-11	4.2743017458768406e-11	4.254682023363543e-11	4.1926986188434157e-11	4.135625175649693e-11	4.15884895965668e-11	4.170033415795693e-11	4.155158161989192e-11	4.161737968133572e-11	4.166900852142774e-11	4.070330184013926e-11
1.625	4.4922610770159466e-11	4.301573680587367e-11	4.209672888055849e-11	4.1417830970447156e-11	4.1022459734696426e-11	4.040846129926834e-11	4.01045308073833e-11	3.986964924873604e-11	3.984629293185549e-11	3.9253916089831975e-11	3.8947855357518435e-11	3.89545375123479e-11	3.904864973036659e-11	3.840395709775457e-11	3.775789403359653e-11	3.792825428727831e-11	3.802338305325392e-11	3.78471767814581e-11	3.813557455933925e-11	3.794468558804276e-11	3.737028395067732e-11
1.65625	4.161031241789459e-11	3.997631739527385e-11	3.884158966682705e-11	3.8245729500063774e-11	3.767013437294686e-11	3.756290070655588e-11	3.730100256449376e-11	3.711897109126561e-11	3.697876727049021e-11	3.622538727321434e-11	3.6211460913149196e-11	3.6007710702001816e-11	3.627489975066567e-11	3.576965112994657e-11	3.5024986383414e-11	3.5290898675599536e-11	3.5169547829561054e-11	3.519786892502985e-11	3.532251227622574e-11	3.513123472687063e-11	3.473343487825353e-11
1.6875	3.920729366169162e-11	3.769893772154198e-11	3.6323215268918574e-11	3.584051805338717e-11	3.5186190766589576e-11	3.54771316490865e-11	3.524592076531441e-11	3.4989455777179046e-11	3.4983949764866296e-11	3.3989262793188146e-11	3.4340041227265417e-11	3.3871322413503435e-11	3.414291765979627e-11	3.385144248246874e-11	3.307078569325661e-11	3.348103391753732e-11	3.3140747091042755e-11	3.331360881597689e-11	3.313520985370744e-11	3.3251582043369865e-11	3.275151330695003e-11
1.71875	3.756259886467106e-11	3.6027812677641435e-11	3.452404681580923e-11	3.4114246150185323e-11	3.348954794035741e-11	3.399563269779193e-11	3.376306872970858e-11	3.341361215492e-11	3.3704865287642605e-11	3.2542336880769795e-11	3.309338914014859e-11	3.243810428599225e-11	3.2631255336701415e-11	3.260819392281178e-11	3.181950883335283e-11	3.228414410805236e-11	3.1955681156770055e-11	3.1941334993623727e-11	3.1672300199181436e-11	3.214665339479339e-11	3.1381761772530936e-11
1.75	3.6556216387317875e-11	3.493940206600321e-11	3.345712942803836e-11	3.300804074513053e-11	3.2456363985300385e-11	3.30091474987082e-11	3.2747558137424804e-11	3.233928749790671e-11	3.29013448430171e-11	3.180353203013908e-11	3.228232958729649e-11	3.155243427643839e-11	3.17096141011497e-11	3.193779268828578e-11	3.113189567249819e-11	3.153551031420676e-11	3.147367436118209e-11	3.104212720206334e-11	3.0936503359058065e-11	3.1577074288691165e-11	3.0552373131431665e-11
1.78125	3.6107748735414447e-11	3.4401079207491136e-11	3.304535464709879e-11	3.2452013298822635e-11	3.1980789544361343e-11	3.248822738610713e-11	3.21551084370153e-11	3.1723339233291625e-11	3.239972526380974e-11	3.1640173120406345e-11	3.1862554261685716e-11	3.11186874879521e-11	3.127847633677128e-11	3.1625559809844717e-11	3.085799671342926e-11	3.1151619478420045e-11	3.13784137562223e-11	3.072748999688457e-11	3.077970170406452e-11	3.137589146828823e-11	3.024740180546104e-11
