Mass	Ion Current
3.5	4.078003126156693e-12
3.53125	2.1687400139636104e-12
3.5625	1.3608074085971755e-12
3.59375	1.0744751442748335e-12
3.625	9.910450281605532e-13
3.65625	9.849756643989793e-13
3.6875	1.0081589426128024e-12
3.71875	1.038333156434812e-12
3.75	1.0705696312091062e-12
3.78125	1.1102570685733726e-12
3.8125	1.158687945937431e-12
3.84375	1.2084940253370702e-12
3.875	1.254288990379382e-12
3.90625	1.2992521555149628e-12
3.9375	1.345833383972761e-12
3.96875	1.3847008392339766e-12
4.0	1.3995157029794703e-12
4.03125	1.3833023268516875e-12
4.0625	1.346334176956232e-12
4.09375	1.3048531439380229e-12
4.125	1.2624502138125493e-12
4.15625	1.2133018114507399e-12
4.1875	1.1649127842905393e-12
4.21875	1.135686596848151e-12
4.25	1.1255705568979923e-12
4.28125	1.1098800914779994e-12
4.3125	1.0693371101794247e-12
4.34375	1.0067243262981695e-12
4.375	9.25738218721106e-13
4.40625	8.22443838293524e-13
4.4375	7.082658027776634e-13
4.46875	6.120251874741633e-13
4.5	5.537607048258786e-13
4.53125	5.336434961457359e-13
4.5625	5.380518079689534e-13
4.59375	5.452727570680327e-13
4.625	5.39280696921357e-13
4.65625	5.25624899508359e-13
4.6875	5.217960937463351e-13
4.71875	5.322881350099118e-13
4.75	5.438288166147165e-13
4.78125	5.442521433529635e-13
4.8125	5.369289539890187e-13
4.84375	5.324342854627628e-13
4.875	5.330820420507143e-13
4.90625	5.325782675112689e-13
4.9375	5.269180274394825e-13
4.96875	5.194129631611033e-13
5.0	5.184312180939177e-13
5.03125	5.308095542971847e-13
5.0625	5.509193904025544e-13
5.09375	5.64109956663339e-13
5.125	5.650745171260907e-13
5.15625	5.597171489311881e-13
5.1875	5.524348339891461e-13
5.21875	5.448880279271262e-13
5.25	5.416895773081853e-13
5.28125	5.471282606660244e-13
5.3125	5.579579224861131e-13
5.34375	5.649529780625551e-13
5.375	5.642361577962163e-13
5.40625	5.63832346697074e-13
5.4375	5.728655939375715e-13
5.46875	5.865297397072977e-13
5.5	5.930569078362036e-13
5.53125	5.933176584586863e-13
5.5625	5.981260950936595e-13
5.59375	6.10282603532436e-13
5.625	6.222235183692137e-13
5.65625	6.272813215038586e-13
5.6875	6.272290087490362e-13
5.71875	6.311320281497668e-13
5.75	6.461863921551625e-13
5.78125	6.66107251821868e-13
5.8125	6.755065799259052e-13
5.84375	6.713854732581792e-13
5.875	6.684066819993839e-13
5.90625	6.775931270068536e-13
5.9375	6.932625046945917e-13
5.96875	7.072424785571629e-13
6.0	7.201733783976372e-13
6.03125	7.310191948300959e-13
6.0625	7.326715731510725e-13
6.09375	7.250810195313928e-13
6.125	7.193166418409391e-13
6.15625	7.210170503181568e-13
6.1875	7.20353464378487e-13
6.21875	7.070776798269451e-13
6.25	6.843727516116227e-13
6.28125	6.612521402833693e-13
6.3125	6.41837819871649e-13
6.34375	6.239009417603747e-13
6.375	6.016009630564756e-13
6.40625	5.722177831395114e-13
6.4375	5.404931602108476e-13
6.46875	5.140699064348775e-13
6.5	4.983579196017607e-13
6.53125	4.936725941234732e-13
6.5625	4.954339889728931e-13
6.59375	5.002264336258222e-13
6.625	5.057225254886943e-13
6.65625	5.065484164935852e-13
6.6875	5.008956574167889e-13
6.71875	4.953963129473993e-13
6.75	4.947139703101455e-13
6.78125	4.936177334935454e-13
6.8125	4.870957695350675e-13
6.84375	4.782985531075201e-13
6.875	4.705394602601276e-13
6.90625	4.653883615285404e-13
6.9375	4.667817239505101e-13
6.96875	4.722826947231584e-13
7.0	4.711257967950078e-13
7.03125	4.628105082331302e-13
7.0625	4.635250516749068e-13
7.09375	4.824771767004965e-13
7.125	5.028821868473254e-13
7.15625	5.024375555363891e-13
7.1875	4.822690098833793e-13
7.21875	4.606480127899992e-13
7.25	4.510172888372993e-13
7.28125	4.535795838315343e-13
7.3125	4.568218633232979e-13
7.34375	4.481432044033118e-13
7.375	4.3170965391935157e-13
7.40625	4.270707865041551e-13
7.4375	4.430886809802387e-13
7.46875	4.666305861676656e-13
7.5	4.813350781320003e-13
7.53125	4.844640313916848e-13
