Mass	Ion Current
6.0	5.143120087799935e-13
6.03125	5.212287307494734e-13
6.0625	5.144057380578049e-13
6.09375	4.955909272373604e-13
6.125	4.787828120078608e-13
6.15625	4.696539923458587e-13
6.1875	4.661860632769466e-13
6.21875	4.637094202543379e-13
6.25	4.5401673414748045e-13
6.28125	4.3816179525792143e-13
6.3125	4.328878835252459e-13
6.34375	4.452593350447176e-13
6.375	4.556965156783666e-13
6.40625	4.4641262800064474e-13
6.4375	4.3133178235718606e-13
6.46875	4.3583826868712205e-13
6.5	4.601506892534801e-13
6.53125	4.831627719442677e-13
6.5625	4.911261826910651e-13
6.59375	4.869911982355313e-13
6.625	4.802993397966249e-13
6.65625	4.779216302222555e-13
6.6875	4.790885028103931e-13
6.71875	4.765781411002201e-13
6.75	4.687668981283311e-13
6.78125	4.633452909547087e-13
6.8125	4.627038769494662e-13
6.84375	4.619529585248028e-13
6.875	4.633293531827731e-13
6.90625	4.74166495997852e-13
6.9375	4.93400079907419e-13
6.96875	5.139905970459602e-13
7.0	5.320847386823535e-13
7.03125	5.421163192832756e-13
7.0625	5.354110167374304e-13
7.09375	5.146720723214759e-13
7.125	4.934484895344204e-13
7.15625	4.775433520842753e-13
7.1875	4.625990888094955e-13
7.21875	4.4586312723457477e-13
7.25	4.2915622227787664e-13
7.28125	4.154821831633265e-13
7.3125	4.0877295038460604e-13
7.34375	4.1353739551643065e-13
7.375	4.301776220395209e-13
7.40625	4.505438177485749e-13
7.4375	4.642427393029835e-13
7.46875	4.697248991679392e-13
7.5	4.713233384308346e-13
7.53125	4.710006256541943e-13
7.5625	4.719096749657148e-13
7.59375	4.791455318446658e-13
7.625	4.885221459131894e-13
7.65625	4.872485336211707e-13
7.6875	4.703836604079414e-13
7.71875	4.4608536157488e-13
7.75	4.2572350267451597e-13
7.78125	4.1612332611802583e-13
7.8125	4.179064863260584e-13
7.84375	4.246130628094563e-13
7.875	4.256759604092525e-13
7.90625	4.205656276793507e-13
7.9375	4.2549972334611497e-13
7.96875	4.5023219093914824e-13
8.0	4.780947773092015e-13
8.03125	4.885153154395028e-13
8.0625	4.846531704606749e-13
8.09375	4.794100771747523e-13
8.125	4.721545420263706e-13
8.15625	4.579744786528672e-13
8.1875	4.442666937456985e-13
8.21875	4.420666035922366e-13
8.25	4.50796003173895e-13
8.28125	4.59534049267879e-13
8.3125	4.565413802212759e-13
8.34375	4.397912427029499e-13
8.375	4.2238803600602726e-13
8.40625	4.1804033108425176e-13
8.4375	4.2329532348901744e-13
8.46875	4.243635878895674e-13
8.5	4.1661148814618743e-13
8.53125	4.1086228928614854e-13
8.5625	4.1894027309752335e-13
8.59375	4.354502327295895e-13
8.625	4.4593341064040615e-13
8.65625	4.4958166963565693e-13
8.6875	4.540186586063366e-13
8.71875	4.561158308685753e-13
8.75	4.501684398514061e-13
8.78125	4.451088477831766e-13
8.8125	4.522812788350372e-13
8.84375	4.631751254237371e-13
8.875	4.596430115862138e-13
8.90625	4.417244564916545e-13
8.9375	4.252807687173815e-13
8.96875	4.1861934925446764e-13
9.0	4.1764169705048315e-13
9.03125	4.1421271794461756e-13
9.0625	4.0193532096360896e-13
9.09375	3.8256810913628314e-13
9.125	3.688805717046856e-13
9.15625	3.747675997659017e-13
9.1875	3.9979770796033653e-13
9.21875	4.311369512267904e-13
9.25	4.578111978056909e-13
9.28125	4.728890347881209e-13
9.3125	4.71937484751439e-13
9.34375	4.596690324383534e-13
9.375	4.496247395669589e-13
9.40625	4.4961365359974526e-13
9.4375	4.533589215843792e-13
9.46875	4.5143741717913743e-13
9.5	4.4119851001778176e-13
9.53125	4.231384394346588e-13
9.5625	4.007983181453234e-13
9.59375	3.830242329902478e-13
9.625	3.7319959947899883e-13
9.65625	3.631988644298839e-13
9.6875	3.5043135385680324e-13
9.71875	3.487896549272257e-13
9.75	3.6812236202041215e-13
9.78125	3.9624992740142084e-13
9.8125	4.172881116169813e-13
9.84375	4.312442872418665e-13
9.875	4.4088918713797165e-13
9.90625	4.4052568125459157e-13
9.9375	4.294068898201553e-13
9.96875	4.164357118689732e-13
10.0	4.0730426301670286e-13
10.03125	4.020854829644982e-13
10.0625	4.025707718569027e-13
10.09375	4.11388994701542e-13
10.125	4.2694851560415303e-13
10.15625	4.441302469022912e-13
10.1875	4.584245851847746e-13
10.21875	4.674514356324544e-13
10.25	4.708687324599115e-13
10.28125	4.709359529946056e-13
10.3125	4.686076830393016e-13
10.34375	4.596403010807826e-13
10.375	4.418439626761167e-13
10.40625	4.2171959826163563e-13
10.4375	4.070028819178062e-13
10.46875	3.988383245629584e-13
10.5	3.928398676234651e-13
10.53125	3.83055945903793e-13
10.5625	3.684965201901369e-13
10.59375	3.5684926151177687e-13
10.625	3.579627913530281e-13
10.65625	3.7379593777892017e-13
10.6875	3.943558804161973e-13
10.71875	4.0758314692052044e-13
10.75	4.135537940742895e-13
10.78125	4.1864100619286304e-13
10.8125	4.209236312367054e-13
10.84375	4.1552517177946557e-13
10.875	4.0875888286141804e-13
10.90625	4.138673724476266e-13
10.9375	4.3165894036273356e-13
10.96875	4.449273252344482e-13
11.0	4.4089943284850164e-13
11.03125	4.293097995156092e-13
11.0625	4.2566625679980874e-13
11.09375	4.287941258573208e-13
11.125	4.279846334102888e-13
11.15625	4.207867778174834e-13
11.1875	4.120464820039915e-13
11.21875	4.062556226754749e-13
11.25	4.074807169202749e-13
11.28125	4.140715006116513e-13
11.3125	4.161848545913144e-13
11.34375	4.1025909340748623e-13
11.375	4.0362071324073767e-13
11.40625	3.9999134646834245e-13
11.4375	3.975380951076052e-13
11.46875	4.020189129511076e-13
11.5	4.254792861351636e-13
11.53125	4.695672019619512e-13
11.5625	5.240790440508292e-13
11.59375	5.878313244153666e-13
11.625	6.768153745784211e-13
11.65625	8.025396211301661e-13
11.6875	9.549646230039288e-13
11.71875	1.1124857545591338e-12
11.75	1.2539123385446604e-12
11.78125	1.363052791296393e-12
11.8125	1.4426465664435506e-12
11.84375	1.513488553234188e-12
11.875	1.5893191710608656e-12
11.90625	1.672256408867534e-12
11.9375	1.760313249332679e-12
11.96875	1.840015769957737e-12
12.0	1.890728676054443e-12
12.03125	1.9002928570988065e-12
12.0625	1.87044281972637e-12
12.09375	1.8163428660428194e-12
12.125	1.7552310516491532e-12
12.15625	1.69307016323339e-12
12.1875	1.6329705599879563e-12
12.21875	1.5839843542711507e-12
12.25	1.5481509303694185e-12
12.28125	1.5104321873099513e-12
12.3125	1.4438233594815664e-12
12.34375	1.3194576724620544e-12
12.375	1.128595480959227e-12
12.40625	9.045168043383955e-13
12.4375	7.047929947989751e-13
12.46875	5.649488580942996e-13
12.5	4.849882973521902e-13
12.53125	4.5364338912938507e-13
12.5625	4.591132704047374e-13
12.59375	4.821663901477535e-13
12.625	5.011968487803053e-13
12.65625	5.051318521451242e-13
12.6875	4.984147317955989e-13
12.71875	4.99353271406211e-13
12.75	5.264457489731478e-13
12.78125	5.772304834637809e-13
12.8125	6.314405920880561e-13
12.84375	6.734341816833078e-13
12.875	6.972411471968532e-13
12.90625	7.032528314028508e-13
12.9375	7.026928951908706e-13
12.96875	7.12222923866801e-13
13.0	7.376701788470996e-13
13.03125	7.67150286438284e-13
13.0625	7.819403219540277e-13
13.09375	7.7429452823366e-13
13.125	7.539456797593658e-13
13.15625	7.389227576169721e-13
13.1875	7.420918805671473e-13
13.21875	7.647892193672623e-13
13.25	7.964602284984967e-13
13.28125	8.201313976899383e-13
13.3125	8.263910389327833e-13
13.34375	8.212702978620257e-13
13.375	8.17924070486975e-13
13.40625	8.278776427415868e-13
13.4375	8.708394248768681e-13
13.46875	1.0102331297889844e-12
13.5	1.4276103086144354e-12
13.53125	2.5202151563569197e-12
13.5625	4.892975781489728e-12
13.59375	9.11142342130411e-12
13.625	1.5320356094861154e-11
13.65625	2.3056157677503464e-11
13.6875	3.14902097453551e-11
13.71875	3.9919810512767384e-11
13.75	4.802290162753131e-11
13.78125	5.5694525380456383e-11
13.8125	6.280074377196243e-11
13.84375	6.915762407189163e-11
13.875	7.461373185968512e-11
13.90625	7.909003313377738e-11
13.9375	8.261432510314748e-11
13.96875	8.53194251360101e-11
14.0	8.737579410000862e-11
14.03125	8.882340002402955e-11
14.0625	8.935517603614329e-11
14.09375	8.8422311139702e-11
14.125	8.58353249588717e-11
14.15625	8.226906655917077e-11
14.1875	7.88137263785238e-11
14.21875	7.580626404379842e-11
14.25	7.245263416999492e-11
14.28125	6.773063360165921e-11
14.3125	6.108701045004494e-11
14.34375	5.2184916110586954e-11
14.375	4.0945101476008716e-11
14.40625	2.8411646299519866e-11
14.4375	1.691380369095441e-11
14.46875	8.602341929064838e-12
14.5	3.950755521342497e-12
14.53125	1.9368480343867622e-12
14.5625	1.2680443717619228e-12
14.59375	1.1381130413101737e-12
14.625	1.217347728697804e-12
14.65625	1.399816569082335e-12
14.6875	1.6425923121676789e-12
14.71875	1.915129079627098e-12
14.75	2.1867006903125707e-12
14.78125	2.423810284424288e-12
14.8125	2.6066462356644227e-12
14.84375	2.7474452834325147e-12
14.875	2.8762933874937335e-12
14.90625	3.008237105597833e-12
14.9375	3.139486717471107e-12
14.96875	3.2634402992448575e-12
15.0	3.370575520078578e-12
15.03125	3.445062811413546e-12
15.0625	3.4721346891392058e-12
15.09375	3.4453490407870824e-12
15.125	3.3722402040942123e-12
15.15625	3.2784549814507402e-12
15.1875	3.1957659175213537e-12
15.21875	3.129918850139357e-12
15.25	3.0547992520973954e-12
15.28125	2.9476659828275853e-12
15.3125	2.7944526033440997e-12
15.34375	2.56455338736028e-12
15.375	2.232949502384285e-12
15.40625	1.8302616366927538e-12
15.4375	1.4475577854444754e-12
15.46875	1.2020261088568907e-12
15.5	1.212153316089426e-12
15.53125	1.6044717637830885e-12
15.5625	2.5159486039677548e-12
15.59375	4.03808150112317e-12
15.625	6.1410390661542635e-12
15.65625	8.681010771338649e-12
15.6875	1.1485844393643863e-11
