Mass	Ion Current
4.75	4.928186764924236e-13
4.78125	5.037112220385165e-13
4.8125	5.1885709270727e-13
4.84375	5.383686118437536e-13
4.875	5.644488782624579e-13
4.90625	5.831139607628821e-13
4.9375	5.801137565111802e-13
4.96875	5.656134740260332e-13
5.0	5.563135130511043e-13
5.03125	5.486205023261248e-13
5.0625	5.323304731047473e-13
5.09375	5.118817154002586e-13
5.125	4.959234520436617e-13
5.15625	4.847829494607214e-13
5.1875	4.777558557100825e-13
5.21875	4.759838356793722e-13
5.25	4.745948100660924e-13
5.28125	4.675480922561315e-13
5.3125	4.631468277470352e-13
5.34375	4.754815248128597e-13
5.375	4.990686683359336e-13
5.40625	5.165231849006691e-13
5.4375	5.249599583159736e-13
5.46875	5.313151719803233e-13
5.5	5.350271007481533e-13
5.53125	5.336930441850185e-13
5.5625	5.341761104629694e-13
5.59375	5.438824304121459e-13
5.625	5.594208364774478e-13
5.65625	5.706789749961028e-13
5.6875	5.684747919794397e-13
5.71875	5.525210822719673e-13
5.75	5.365443874784381e-13
5.78125	5.358874693821292e-13
5.8125	5.490325533617779e-13
5.84375	5.592515925183228e-13
5.875	5.580234625074398e-13
5.90625	5.589848787838914e-13
5.9375	5.766520616047599e-13
5.96875	6.014461931963533e-13
6.0	6.145364707561829e-13
6.03125	6.145263334658702e-13
6.0625	6.089076183372899e-13
6.09375	5.946836447758008e-13
6.125	5.668834000306655e-13
6.15625	5.330304882374126e-13
6.1875	5.076518632546323e-13
6.21875	5.019193611080497e-13
6.25	5.176710839507881e-13
6.28125	5.411527346024791e-13
6.3125	5.516350180465035e-13
6.34375	5.444989619775298e-13
6.375	5.331193928155564e-13
6.40625	5.275581946122265e-13
6.4375	5.253916334109487e-13
6.46875	5.225277133723283e-13
6.5	5.193494289137957e-13
6.53125	5.132421180761848e-13
6.5625	4.982047218347885e-13
6.59375	4.748687337449709e-13
6.625	4.5067237702117735e-13
6.65625	4.342608900514272e-13
6.6875	4.34137562054307e-13
6.71875	4.499013466462143e-13
6.75	4.65087007534698e-13
6.78125	4.641962270297839e-13
6.8125	4.544882536722944e-13
6.84375	4.556356377263815e-13
6.875	4.711301336036977e-13
6.90625	4.894193232109212e-13
6.9375	5.077415267742968e-13
6.96875	5.288894864598215e-13
7.0	5.414311577203734e-13
7.03125	5.321300583331634e-13
7.0625	5.109956511747948e-13
7.09375	4.982349710754008e-13
7.125	4.977393822623577e-13
7.15625	5.005824314091578e-13
7.1875	4.983139552036664e-13
7.21875	4.850743830046855e-13
7.25	4.624249117304857e-13
7.28125	4.4249147531857935e-13
7.3125	4.335257467683734e-13
7.34375	4.278084505572599e-13
7.375	4.174377315167843e-13
7.40625	4.12897960180153e-13
7.4375	4.2827677168566503e-13
7.46875	4.556561291474415e-13
7.5	4.754255257706508e-13
7.53125	4.840048717716372e-13
7.5625	4.901730605612331e-13
7.59375	4.951067225471284e-13
7.625	4.919528868475853e-13
7.65625	4.776943272367939e-13
7.6875	4.577773706979094e-13
7.71875	4.410827172257603e-13
7.75	4.329714755127445e-13
7.78125	4.3165801879088694e-13
7.8125	4.316891624982916e-13
7.84375	4.3151403674238087e-13
7.875	4.3300172475335685e-13
7.90625	4.348731932283384e-13
7.9375	4.323512847650285e-13
7.96875	4.2452873898549126e-13
