Mass	Ion Current
4.03125	6.465444499226258e-13
4.0625	6.617087520283116e-13
4.09375	6.700493567109167e-13
4.125	6.779654420328851e-13
4.15625	6.934682320568208e-13
4.1875	7.137933365035376e-13
4.21875	7.274334129850346e-13
4.25	7.299558093393221e-13
4.28125	7.260003687635519e-13
4.3125	7.157847448438504e-13
4.34375	6.915476221183714e-13
4.375	6.498005258870343e-13
4.40625	6.02437587662874e-13
4.4375	5.69860727616528e-13
4.46875	5.59635779558143e-13
4.5	5.592872085596889e-13
4.53125	5.552562533026051e-13
4.5625	5.50291257873925e-13
4.59375	5.542314111990632e-13
4.625	5.634515748940971e-13
4.65625	5.627624559932654e-13
4.6875	5.494710589304397e-13
4.71875	5.421699872908137e-13
4.75	5.555103360817271e-13
4.78125	5.775594846130216e-13
4.8125	5.883357494761154e-13
4.84375	5.869550180094552e-13
4.875	5.818559067720386e-13
4.90625	5.720825831286025e-13
4.9375	5.572795913968975e-13
4.96875	5.468833936053685e-13
5.0	5.439379957734858e-13
5.03125	5.39340436461061e-13
5.0625	5.295304667841949e-13
5.09375	5.22299217764477e-13
5.125	5.220529412409969e-13
5.15625	5.22463691234043e-13
5.1875	5.160413112451079e-13
5.21875	5.035367739089636e-13
5.25	4.93319848946655e-13
5.28125	4.944089300289167e-13
5.3125	5.090760170183006e-13
5.34375	5.296596494730466e-13
5.375	5.426788575804697e-13
5.40625	5.407773838103647e-13
5.4375	5.302960761482955e-13
5.46875	5.216462570060976e-13
5.5	5.170923368311153e-13
5.53125	5.149721794828199e-13
5.5625	5.185728148976443e-13
5.59375	5.301163154280975e-13
5.625	5.417798913491534e-13
5.65625	5.446500455502656e-13
5.6875	5.410284308234037e-13
5.71875	5.388273919930409e-13
5.75	5.407732638421092e-13
5.78125	5.425568306259565e-13
5.8125	5.374367400765023e-13
5.84375	5.235329314165482e-13
5.875	5.078600842818581e-13
5.90625	5.024289361291179e-13
5.9375	5.112809589764844e-13
5.96875	5.217851975145016e-13
6.0	5.236084460978618e-13
6.03125	5.282457956300168e-13
6.0625	5.457541428326163e-13
6.09375	5.604509911716349e-13
6.125	5.568515483792003e-13
6.15625	5.480584519199083e-13
6.1875	5.531865655654389e-13
6.21875	5.647777709914814e-13
6.25	5.610968504057845e-13
6.28125	5.395719678349953e-13
6.3125	5.158052804321578e-13
6.34375	4.982619134993871e-13
6.375	4.845109231356448e-13
6.40625	4.734817139057101e-13
6.4375	4.655808074141565e-13
6.46875	4.58929660766827e-13
6.5	4.583540036233458e-13
6.53125	4.746702163271888e-13
6.5625	5.017719096125917e-13
6.59375	5.169531252721682e-13
6.625	5.143477332415769e-13
6.65625	5.107175533175523e-13
6.6875	5.147584290245144e-13
6.71875	5.198352056971778e-13
6.75	5.263811847337763e-13
6.78125	5.406687467526816e-13
6.8125	5.530492513602936e-13
6.84375	5.453512533053206e-13
6.875	5.171310970587817e-13
6.90625	4.844899438236072e-13
6.9375	4.60633321850562e-13
6.96875	4.5059759417633016e-13
7.0	4.5293879324254105e-13
7.03125	4.589363286101877e-13
7.0625	4.608465302077813e-13
7.09375	4.628471542665602e-13
7.125	4.737103179337787e-13
7.15625	4.908078067231147e-13
7.1875	5.058273678387737e-13
7.21875	5.198582449933431e-13
7.25	5.345301024722859e-13
7.28125	5.393592473687536e-13
7.3125	5.272828072604152e-13
7.34375	5.125915967726935e-13
7.375	5.13159989761619e-13
7.40625	5.224718227503367e-13
7.4375	5.201923961029031e-13
7.46875	5.026536370293655e-13
7.5	4.828790362357283e-13
7.53125	4.687106280355791e-13
7.5625	4.583653877461569e-13
7.59375	4.512046931828134e-13
7.625	4.4799770447176424e-13
7.65625	4.4577774631349154e-13
7.6875	4.4381590958743333e-13
7.71875	4.4782420501911224e-13
7.75	4.601332335985031e-13
7.78125	4.748543680661854e-13
7.8125	4.874987132724717e-13
7.84375	4.980149322444949e-13
7.875	5.033792393333014e-13
7.90625	5.013491791855396e-13
7.9375	5.0157968056741e-13
7.96875	5.171561421289661e-13
8.0	5.421413643534601e-13
8.03125	5.527175397056217e-13
8.0625	5.366085180369407e-13
8.09375	5.065203898674264e-13
